治理模式,D6,D7,D8,D9,D10,D11,D12,国家数量,代表国家,平均发展水平,模式名称
模式0,88.63636363636364,36.36363636363637,81.81818181818181,0.0,0.0,9.100000000000001,38.31818181818182,11,瑞士,29.79090909090909,混合发展型
模式1,92.5,100.0,100.0,60.0,100.0,66.66,87.15,10,中国,52.94,软性引导型
模式2,96.66666666666667,33.333333333333336,0.0,6.666666666666667,0.0,70.02000000000001,60.3,15,芬兰,39.12,混合发展型
模式3,68.75,75.0,75.0,100.0,0.0,20.825,72.5,4,新加坡,47.3,软性引导型
