治理模式,国家数量,风险控制,社会接受度,创新活力,治理成效,发展水平
软性引导型,14,47.785714285714285,43.0,50.19285714285714,49.44285714285714,51.32857142857143
混合发展型,26,73.42307692307692,51.22692307692308,33.784615384615385,40.85000000000001,35.17307692307692
